id,newfollwers
Edward Rees,10
Poppy McPherson,70
Matt Wells,13
Tania Rashid,12
Jonah Fisher,128
Tun Khin,158
Ro Nay San Lwin,230
Sally Mairs,33
Ursula Müller,54
Matthew Smith,1096
Kristian Schmidt,50
Piere Peron,405
Kitty McKinsey,12
Alexandra Field,11
LaetitiavandenAssum,38
Yimou Lee,19
Antoni Slodkowski,23
Richard Horsey,53
Ikhtiyar Aslano,5
May Wong,1119
Joe Freeman,24
Francis Wade,39
Kayleigh E. Long,102
Mark Farmaner,87
Jonathan Head,51
Laura Haigh,64
FiMacGregor,22
Oliver Slow,40
Jeffrey Gettleman,32
Edith Mirante ,11
Ashley S. Westerman,7
Andrew RC Marshall,97
