id,newfollwers
ReesEdward,471
poppymcp,968
matwells,617
TaniaRashid9,133
JonahFisherBBC,1423
kunkhin80,2727
nslwin,3440
ssmairs,355
UschiMuller,248
matthewfsmith,5808
EUAmbSchmidt,1276
pierre_peron,3893
KittyMcKinsey,91
AFieldCNN,101
lvandenassum,192
YimouLee,974
slodek,242
rshorsey,1045
IkhtiyarAslano,45
MayWongCNA,6496
joefree215,771
Francis_Wade,1192
ayleighk,1336
MarkFarmaner,1874
pakhead,1024
Lauraehaigh,1737
FiMacGregor,1268
oslow99,864
gettleman,193
EdithMirante,101
NPRAshley,57
Journotopia,1034
